,symbol,date,dividend
192412,SPKE,2018-03-01,0.1812
192413,SRCLP,2018-02-28,1.3125
192414,SSNC,2018-02-28,0.07
192415,STB,2018-02-27,0.0367
192416,SUNS,2018-02-21,0.1175
192417,SUSB,2018-03-01,0.0466
192418,SUSC,2018-03-01,0.0634
192419,SWKS,2018-02-21,0.32
192420,SYMC,2018-02-21,0.075
192421,TCBIP,2018-02-28,0.4063
192422,TCGP,2018-02-28,0.3672
192423,TERP,2018-02-27,0.19
192424,TLT,2018-03-01,0.239
192425,TRMK,2018-02-28,0.23
192426,TRST,2018-03-01,0.0656
192427,TSCO,2018-02-23,0.27
192428,UBOH,2018-02-27,0.12
192429,UCBA,2018-02-21,0.1
192430,USLM,2018-02-22,0.135
192431,USOI,2018-02-20,0.1689
192432,VCIT,2018-03-01,0.2165
192433,VCLT,2018-03-01,0.2928
192434,VCSH,2018-03-01,0.1422
192435,VGIT,2018-03-01,0.0909
192436,VGLT,2018-03-01,0.1475
192437,VGSH,2018-03-01,0.0659
192438,VIRT,2018-02-28,0.24
192439,VMBS,2018-03-01,0.0958
192440,VRIG,2018-02-20,0.0503
192441,VTC,2018-02-28,0.2028
192442,VWOB,2018-03-01,0.235
192443,WEN,2018-02-28,0.085
192444,XPER,2018-02-28,0.2
192445,YDIV,2018-02-21,0.01
192446,YORW,2018-02-27,0.1666
192447,ZEUS,2018-02-28,0.02
192448,ABAX,2018-02-28,0.16
192449,ACNB,2018-02-28,0.2
192450,ACSF,2018-02-21,0.097
192451,ADES,2018-02-20,0.25
192452,AGIIL,2018-02-28,0.4063
192453,AGNC,2018-02-27,0.18
192454,AGND,2018-02-20,0.0775
192455,AGZD,2018-02-20,0.085
192456,ALGT,2018-03-01,0.7
192457,AMAT,2018-02-20,0.1
192458,AMNB,2018-03-01,0.25
192459,AROW,2018-02-28,0.25
192460,BGCP,2018-02-26,0.18
192461,BLKB,2018-02-27,0.12
192462,BNDX,2018-03-01,0.0431
192463,BPY,2018-02-27,0.315
192464,BRKS,2018-03-01,0.1
192465,BWFG,2018-02-23,0.12
192466,BWINA,2018-02-22,0.28
192467,BWINB,2018-02-22,0.28
192468,CA,2018-02-21,0.255
192469,CAKE,2018-02-27,0.29
192470,CATY,2018-02-28,0.24
192471,CBOE,2018-03-01,0.27
192472,CCNE,2018-02-28,0.165
192473,CDK,2018-02-28,0.15
192474,CDW,2018-02-23,0.21
192475,CGNX,2018-03-01,0.045
192476,CHFC,2018-03-01,0.28
192477,CHRW,2018-03-01,0.46
192478,CIU,2018-03-01,0.2402
192479,COHU,2018-02-26,0.06
192480,COWNZ,2018-02-28,0.4594
192481,CPSI,2018-02-21,0.1
192482,CRAI,2018-02-26,0.17
192483,CRED,2018-03-01,0.2906
192484,CRUSC,2018-03-01,0.0223
192485,CSJ,2018-03-01,0.1628
192486,CSPI,2018-02-27,0.11
192487,CSTE,2018-02-20,0.29
192488,CSX,2018-02-28,0.22
192489,CTSH,2018-02-21,0.2
192490,CTWS,2018-02-28,0.2975
192491,DGRS,2018-02-20,0.01
192492,DGRW,2018-02-20,0.04
192493,DHXM,2018-02-22,0.02
192494,DWFI,2018-03-01,0.0414
192495,DWIN,2018-02-20,0.0948
192496,EBIX,2018-02-27,0.075
192497,EMB,2018-03-01,0.3403
192498,EMCB,2018-02-20,0.235
192499,EMCF,2018-02-28,0.28
192500,EML,2018-02-28,0.11
192501,EQIX,2018-02-23,2.28
192502,EVFTC,2018-03-01,0.0315
192503,EVGBC,2018-03-01,0.1616
192504,EVLMC,2018-03-01,0.035
192505,EXPO,2018-03-01,0.26
192506,FALN,2018-03-01,0.1079
192507,FCAL,2018-02-21,0.125
192508,FCVT,2018-02-21,0.045
192509,FDIV,2018-02-21,0.18
192510,FEMB,2018-02-21,0.15
192511,FFBC,2018-02-28,0.19
192512,FFKT,2018-02-28,0.125
192513,FHB,2018-02-23,0.24
192514,FINL,2018-03-01,0.115
192515,FIXD,2018-02-21,0.1105
192516,FLIR,2018-02-22,0.16
